employee_id,department,hire_date,leave_date,salary,performance_score,training_hours,satisfaction_score,age,gender,education
EMP0031,Marketing,2023-09-02,,6664,4.2,35,4.3,24,M,PhD
EMP0032,HR,2020-12-08,2023-11-27,23077,3.2,14,2.7,26,M,Bachelor
EMP0033,Operations,2024-07-13,,19083,4.0,115,4.4,24,F,Master
EMP0034,Finance,2019-02-26,,23346,4.1,79,3.2,31,M,Master
EMP0035,HR,2022-08-16,2024-12-23,18491,4.0,103,2.1,37,F,Master
EMP0036,Sales,2022-04-16,,20423,3.8,58,5.0,44,F,Master
EMP0037,Finance,2018-04-07,,18056,2.7,98,5.0,39,F,High School
EMP0038,Operations,2018-04-24,2020-04-07,10851,1.5,4,2.5,28,F,PhD
EMP0039,Operations,2022-11-23,,21758,4.8,24,5.0,38,M,High School
EMP0040,Technology,2023-10-31,,22643,2.8,94,1.8,34,F,High School
EMP0041,Sales,2021-09-14,,26737,4.2,38,2.6,54,F,High School
EMP0042,Operations,2022-07-07,,23166,4.1,120,4.5,46,M,PhD
EMP0043,Legal,2024-02-23,,14957,3.3,74,4.7,42,F,High School
EMP0044,R&D,2020-05-25,,29115,3.7,65,4.1,43,M,Master
EMP0045,Marketing,2020-07-09,,9828,4.1,60,3.9,26,F,High School
EMP0046,Finance,2022-04-22,,12994,4.2,114,4.9,28,F,Master
EMP0047,HR,2023-10-23,,23265,3.5,58,5.0,30,F,PhD
EMP0048,R&D,2023-08-30,,22952,3.1,110,4.0,52,F,PhD
EMP0049,Finance,2021-02-09,,22081,2.9,56,3.9,26,F,Master
EMP0050,Marketing,2021-10-07,,22699,3.9,49,4.0,31,M,Bachelor
EMP0051,Legal,2022-07-28,,20267,3.0,53,4.1,46,M,High School
EMP0052,R&D,2018-01-25,,14784,3.5,106,2.0,48,M,High School
EMP0053,Finance,2021-01-22,,5951,2.6,102,4.7,47,M,High School
EMP0054,HR,2023-12-28,2026-09-09,24395,3.3,82,3.7,49,M,High School
EMP0055,HR,2018-07-25,,15726,3.7,97,4.6,46,F,High School
EMP0056,Marketing,2018-12-02,,29544,1.0,44,2.8,36,M,Bachelor
EMP0057,Technology,2020-10-09,2021-05-18,25359,3.7,85,4.2,29,M,High School
EMP0058,Marketing,2022-02-19,2026-01-12,29508,3.2,20,2.3,41,M,Bachelor
EMP0059,Marketing,2024-06-16,,17298,2.5,9,4.7,37,M,PhD
EMP0060,Sales,2024-05-07,,16377,2.3,8,3.5,54,F,Bachelor
EMP0061,Legal,2023-07-01,2026-01-07,25826,4.2,19,3.2,49,M,PhD
EMP0062,R&D,2023-03-20,,28954,2.9,31,3.4,27,F,High School
EMP0063,Finance,2023-03-19,,26895,3.4,108,3.9,42,M,High School
EMP0064,Finance,2021-12-24,,16152,3.3,112,5.0,39,M,Master
EMP0065,Sales,2020-09-15,,21009,2.9,60,3.6,53,F,Bachelor
EMP0066,Sales,2021-04-20,2023-02-27,15033,3.1,70,3.1,55,F,High School
EMP0067,Operations,2021-12-12,,13877,3.3,92,4.4,34,F,Bachelor
EMP0068,HR,2020-02-24,2023-05-10,14060,3.2,67,1.4,40,M,Master
EMP0069,Marketing,2020-07-20,,14904,4.5,35,3.9,24,M,PhD
EMP0070,HR,2023-07-04,2024-01-25,23810,3.3,43,4.8,33,M,PhD
EMP0071,R&D,2019-04-13,,18130,2.5,87,3.9,25,M,Master
EMP0072,Marketing,2018-12-15,,8881,2.7,76,3.5,36,F,High School
EMP0073,R&D,2021-05-02,,19051,3.1,78,5.0,28,M,Master
EMP0074,Marketing,2018-11-29,2020-05-17,23087,3.6,57,3.8,52,F,Bachelor
EMP0075,Finance,2021-03-26,,28035,3.7,29,3.5,38,M,High School
EMP0076,Sales,2024-02-09,2025-06-08,13704,3.6,21,3.5,41,F,High School
EMP0077,Sales,2023-04-04,,27928,3.0,69,4.2,53,F,Bachelor
EMP0078,Technology,2022-11-05,,24782,3.5,86,4.2,23,F,Bachelor
EMP0079,HR,2023-04-12,,19490,3.9,74,3.5,49,F,Bachelor
EMP0080,R&D,2021-11-26,,15520,2.7,42,2.2,48,F,PhD
EMP0081,Legal,2024-03-03,2025-02-26,15306,3.5,98,4.2,47,M,High School
EMP0082,Legal,2018-08-11,2021-02-16,25402,3.5,97,2.5,25,M,PhD
EMP0083,HR,2021-03-25,,27880,3.3,80,3.8,37,M,PhD
EMP0084,Technology,2024-03-12,,12362,5.0,59,3.7,29,M,High School
EMP0085,Marketing,2023-09-16,,18614,4.6,31,1.6,51,M,High School
EMP0086,Finance,2024-09-21,,9473,3.9,101,3.3,48,F,PhD
EMP0087,Technology,2021-03-04,,24232,2.5,110,3.2,31,F,High School
EMP0088,Operations,2021-09-23,,22807,2.2,111,5.0,34,M,High School
EMP0089,Finance,2022-08-10,2025-10-01,28108,4.2,84,3.3,31,F,Bachelor
EMP0090,HR,2023-08-20,,15878,4.6,56,2.5,28,F,Bachelor
EMP0091,HR,2022-08-07,,10058,4.7,33,4.5,43,F,Bachelor
EMP0092,Operations,2023-12-26,,15376,2.3,62,2.5,24,M,Master
EMP0093,Marketing,2020-07-20,,19220,4.8,90,3.6,28,F,Master
EMP0094,Marketing,2018-04-29,2019-02-17,14613,3.0,31,4.5,55,F,Master
EMP0095,HR,2019-12-19,2022-08-08,25306,3.1,74,2.8,31,M,High School
EMP0096,Marketing,2023-02-26,,5307,4.2,36,3.2,32,M,High School
EMP0097,Operations,2024-08-03,,18903,3.2,38,2.9,34,F,High School
EMP0098,Sales,2020-08-29,,16762,1.3,37,2.5,23,F,PhD
EMP0099,Technology,2024-05-07,,29401,5.0,95,3.5,53,F,Master
EMP0100,Operations,2020-06-16,,25345,3.5,98,5.0,30,M,Bachelor
EMP0101,Marketing,2022-12-11,2025-06-25,28997,4.7,41,5.0,48,M,Master
EMP0102,HR,2024-01-19,,16988,1.8,106,3.4,32,F,High School
EMP0103,Marketing,2021-10-19,,20346,3.9,28,3.7,47,F,Bachelor
EMP0104,Legal,2018-02-27,,9049,2.4,86,4.2,38,F,PhD
EMP0105,Sales,2020-08-15,,25301,4.3,117,3.0,36,M,High School
EMP0106,Marketing,2022-07-31,2023-04-29,6219,3.2,12,4.8,37,M,High School
EMP0107,R&D,2022-02-28,,29351,3.2,75,2.7,31,F,Bachelor
EMP0108,R&D,2022-07-30,,14166,4.3,56,4.0,50,M,PhD
EMP0109,Sales,2022-02-13,,26129,3.0,24,4.5,29,F,Bachelor
EMP0110,Finance,2024-09-11,,6657,3.6,16,3.1,35,M,Master
EMP0111,Finance,2020-08-12,,9835,3.8,35,2.6,31,M,PhD
EMP0112,HR,2019-03-27,,5844,4.0,100,4.4,37,F,Bachelor
EMP0113,HR,2020-12-22,2023-10-30,22238,3.7,57,4.0,45,M,High School
EMP0114,Finance,2018-06-27,,26590,2.6,3,3.7,25,F,High School
EMP0115,Legal,2019-03-19,,19534,3.8,77,4.0,31,M,Master
EMP0116,Marketing,2024-07-25,,15655,2.7,37,4.6,51,F,Bachelor
EMP0117,Sales,2024-03-08,,12045,2.0,52,4.6,43,F,High School
EMP0118,Legal,2019-01-25,,15240,3.1,19,3.0,52,M,Bachelor
EMP0119,Sales,2019-01-17,,29398,3.4,71,2.2,25,F,Bachelor
EMP0120,Legal,2021-12-19,,29585,1.9,6,4.7,40,F,PhD
EMP0121,Sales,2024-06-25,,10070,3.2,13,3.3,44,F,Bachelor
EMP0122,Marketing,2024-06-09,2027-05-03,23381,5.0,78,3.5,23,F,Bachelor
EMP0123,HR,2021-01-24,,15124,4.2,23,3.4,31,F,Bachelor
EMP0124,HR,2018-05-06,2021-10-23,12049,2.9,20,4.5,45,F,PhD
EMP0125,Sales,2018-08-04,2022-07-19,6630,3.2,84,3.2,49,F,High School
EMP0126,Legal,2021-01-23,2024-06-05,8729,3.3,86,4.2,53,F,Bachelor
EMP0127,Finance,2022-06-07,,6795,4.2,27,3.8,30,F,PhD
EMP0128,Operations,2019-05-07,2022-04-02,10757,4.2,29,4.6,54,F,Bachelor
EMP0129,Legal,2018-06-23,,20065,4.9,73,2.9,49,F,High School
EMP0130,Marketing,2019-04-17,,15642,4.4,58,5.0,45,M,High School
EMP0131,Sales,2020-09-23,,18121,2.7,39,3.7,43,M,PhD
EMP0132,HR,2018-11-09,,8736,3.0,99,3.7,44,F,Master
EMP0133,Finance,2019-02-26,2020-10-02,10685,2.4,83,2.9,26,M,High School
EMP0134,R&D,2024-04-28,,19709,2.8,82,2.1,42,F,Master
EMP0135,R&D,2018-10-07,,25689,3.3,7,4.5,44,M,PhD
EMP0136,R&D,2023-01-26,2025-08-18,14406,4.9,109,4.6,27,F,High School
EMP0137,Technology,2023-01-17,,23732,3.1,60,3.2,54,M,Bachelor
EMP0138,R&D,2019-02-28,,16253,3.8,82,3.8,33,M,Master
EMP0139,R&D,2022-12-05,,24982,3.9,36,4.5,46,F,PhD
EMP0140,Technology,2021-10-02,2022-10-10,23283,3.2,92,3.1,31,F,Bachelor
EMP0141,HR,2021-12-03,,26497,3.2,76,2.9,27,F,High School
EMP0142,Operations,2019-06-08,,29208,5.0,11,3.8,49,F,Bachelor
EMP0143,Operations,2021-06-19,2023-02-27,16197,4.4,28,3.5,30,M,Bachelor
EMP0144,Marketing,2019-02-19,,22687,4.3,4,2.2,43,M,High School
EMP0145,HR,2019-10-27,2023-10-25,10424,3.5,46,3.5,37,F,PhD
EMP0146,R&D,2020-08-16,,15140,4.9,115,3.5,34,F,High School
EMP0147,R&D,2021-02-28,,21479,1.4,104,3.4,34,M,PhD
EMP0148,Technology,2023-05-23,,23171,4.7,66,3.2,29,F,Bachelor
EMP0149,HR,2021-01-22,,21821,4.0,116,4.6,36,F,PhD
EMP0150,Technology,2022-08-27,2025-12-17,17253,3.7,47,5.0,36,M,PhD
EMP0151,Sales,2021-10-05,,9508,5.0,60,4.3,30,F,High School
EMP0152,Technology,2018-11-21,2020-08-03,9899,2.3,67,3.4,49,M,PhD
EMP0153,Finance,2021-05-18,2023-03-17,18756,2.8,8,2.8,29,F,Bachelor
EMP0154,Finance,2019-08-12,,5051,3.1,53,3.4,33,M,PhD
EMP0155,Sales,2023-11-25,,21633,2.7,60,3.5,24,F,PhD
EMP0156,Marketing,2018-03-08,,7213,2.8,80,5.0,28,F,Master
EMP0157,Technology,2021-12-14,,26063,4.1,59,5.0,52,M,Master
EMP0158,Sales,2023-02-18,2024-10-02,6435,3.9,40,2.0,41,F,High School
EMP0159,Marketing,2018-05-30,,11262,3.1,6,5.0,43,F,Bachelor
EMP0160,Operations,2022-11-25,,29356,1.6,43,4.6,33,F,High School
EMP0161,Operations,2023-10-28,,7707,3.5,77,3.4,33,F,PhD
EMP0162,Sales,2018-11-24,,14687,3.1,54,4.9,32,F,PhD
EMP0163,R&D,2018-06-23,,16552,2.9,81,3.2,25,M,High School
EMP0164,Operations,2023-10-03,,27262,3.6,108,4.0,50,M,Master
EMP0165,Sales,2020-08-24,,17003,2.2,4,5.0,31,F,PhD
EMP0166,Operations,2022-12-24,,23806,4.0,40,4.5,39,M,Bachelor
EMP0167,Technology,2020-02-02,,17680,3.8,99,3.6,38,F,Master
EMP0168,Marketing,2023-07-05,2024-10-04,7426,1.9,56,4.4,27,F,PhD
EMP0169,Sales,2024-03-02,,14828,4.3,118,2.7,33,F,Master
EMP0170,Sales,2020-04-03,,12757,3.5,70,3.6,45,F,Master
EMP0171,Sales,2018-09-27,,28492,3.3,98,2.7,48,M,Master
EMP0172,Operations,2018-10-31,,27285,3.1,106,3.7,33,M,High School
EMP0173,Technology,2019-05-24,,14965,3.9,90,4.5,36,F,PhD
EMP0174,Sales,2020-10-23,2024-05-23,13993,4.0,68,4.3,27,M,Master
EMP0175,HR,2024-10-14,,23468,5.0,10,4.3,24,F,Master
EMP0176,Legal,2018-05-05,,25550,2.4,38,3.4,52,M,High School
EMP0177,Marketing,2023-02-01,2023-11-30,10179,2.6,26,4.2,43,M,PhD
EMP0178,Operations,2021-11-15,,9284,3.6,13,2.7,42,M,High School
EMP0179,Sales,2020-12-31,,9616,4.0,49,4.2,48,M,Master
EMP0180,Operations,2024-06-24,,11220,3.6,65,2.7,51,F,PhD
EMP0181,R&D,2018-04-05,2020-12-15,21562,2.9,74,4.0,44,M,Bachelor
EMP0182,Marketing,2023-07-21,,26438,3.2,1,3.1,28,F,Master
EMP0183,Marketing,2022-02-07,,16991,3.7,71,3.9,34,F,PhD
EMP0184,Sales,2022-05-02,,23017,3.1,87,5.0,29,M,Bachelor
EMP0185,Legal,2022-03-09,,16111,2.8,18,3.5,34,F,Bachelor
EMP0186,Technology,2018-06-09,2020-10-18,20523,3.0,114,3.7,54,M,PhD
EMP0187,Operations,2019-10-28,,25201,3.5,43,3.0,54,F,PhD
EMP0188,R&D,2018-03-10,,27079,4.1,39,4.4,23,F,PhD
EMP0189,Finance,2018-07-30,,10587,2.2,99,3.6,46,M,Master
EMP0190,Technology,2024-06-03,,8601,3.8,53,4.7,31,F,Master
EMP0191,Legal,2023-08-18,,20453,4.4,7,2.7,30,M,PhD
EMP0192,R&D,2023-11-23,,10674,2.5,69,4.1,44,F,High School
EMP0193,Finance,2020-10-06,,14781,3.8,38,5.0,40,M,High School
EMP0194,Operations,2023-05-20,,28647,3.4,86,4.3,46,F,PhD
EMP0195,HR,2021-04-04,2022-03-11,16349,4.5,95,3.2,52,M,Master
EMP0196,Marketing,2024-04-21,,9498,4.5,30,4.7,37,M,Master
EMP0197,Finance,2018-08-04,2020-12-07,28506,2.3,17,4.0,22,M,High School
EMP0198,R&D,2023-05-10,,29769,4.2,82,3.6,25,M,Master
EMP0199,Technology,2019-12-19,,10760,3.7,107,3.7,47,F,Master
EMP0200,Marketing,2018-06-03,2022-02-05,24751,5.0,36,5.0,51,F,Master
EMP0201,R&D,2021-01-22,2022-03-08,15835,4.0,32,4.7,33,M,PhD
EMP0202,Marketing,2024-05-14,,11329,4.2,114,5.0,47,F,PhD
EMP0203,Sales,2022-06-30,,11054,4.4,119,3.7,37,M,PhD
EMP0204,Legal,2020-08-22,,13748,4.2,92,3.6,22,F,PhD
EMP0205,Finance,2018-09-12,,20250,3.2,64,4.7,41,M,PhD
EMP0206,Operations,2020-06-23,2021-09-19,20669,4.3,77,5.0,45,F,High School
EMP0207,Finance,2020-10-10,,24523,3.7,57,3.5,55,F,Bachelor
EMP0208,Sales,2018-09-10,,21563,3.8,21,4.9,42,F,Bachelor
EMP0209,Finance,2024-07-16,,21723,3.2,16,3.9,54,F,High School
EMP0210,Technology,2024-04-07,,15098,3.4,104,2.9,22,M,Bachelor
EMP0211,Technology,2022-10-02,,7089,3.2,114,3.7,26,F,Bachelor
EMP0212,Marketing,2022-08-02,2023-11-02,26021,4.6,53,3.6,45,F,High School
EMP0213,Legal,2022-03-19,2025-09-23,9357,3.1,22,3.1,47,M,Master
EMP0214,Technology,2018-04-04,,20171,3.0,68,2.8,46,M,Master
EMP0215,R&D,2021-11-18,2023-06-07,28757,3.5,84,3.6,48,M,Master
EMP0216,Finance,2018-10-03,2019-06-08,19628,2.5,6,3.0,37,M,High School
EMP0217,R&D,2020-08-17,,29719,3.7,64,3.6,40,M,PhD
EMP0218,Operations,2020-08-28,,9694,4.5,52,3.7,41,F,Bachelor
EMP0219,HR,2022-10-16,,6536,5.0,85,3.4,46,F,High School
EMP0220,Legal,2019-09-04,,11025,3.5,108,2.8,36,F,Master
EMP0221,R&D,2018-08-25,,18648,3.1,31,3.6,38,M,PhD
EMP0222,Sales,2023-01-17,,8029,2.0,6,3.4,39,F,Bachelor
EMP0223,Sales,2020-02-10,,24253,3.3,61,2.7,35,F,PhD
EMP0224,Technology,2020-05-17,,29296,5.0,61,5.0,37,M,High School
EMP0225,Finance,2024-03-11,,14275,2.8,45,4.6,41,F,PhD
EMP0226,R&D,2023-03-24,2026-05-08,29957,4.4,47,2.1,42,F,Bachelor
EMP0227,Finance,2019-08-21,2023-03-26,24137,2.8,19,3.4,34,F,Master
EMP0228,Legal,2024-05-22,,21361,1.7,43,3.1,38,F,High School
EMP0229,R&D,2019-11-21,,16540,4.1,62,5.0,33,M,Bachelor
EMP0230,Sales,2018-07-18,,18513,4.2,8,4.8,31,M,Master
EMP0231,R&D,2022-03-09,2026-04-03,26848,5.0,84,3.0,53,M,Bachelor
EMP0232,Legal,2018-02-18,2020-03-01,22555,3.6,104,3.8,49,M,Bachelor
EMP0233,Sales,2023-11-18,2025-06-13,25308,2.1,34,3.5,47,M,PhD
EMP0234,Legal,2023-02-24,,27847,3.7,108,5.0,27,M,Bachelor
EMP0235,Legal,2022-04-03,,20597,3.6,21,3.8,27,F,High School
EMP0236,Operations,2024-05-06,,8124,4.9,29,2.6,35,F,PhD
EMP0237,Technology,2018-11-01,,14187,4.3,4,3.1,33,F,Bachelor
EMP0238,Finance,2024-08-01,2027-04-23,7521,3.2,72,4.9,46,F,High School
EMP0239,HR,2018-11-18,,16333,4.3,107,4.1,26,F,High School
EMP0240,Operations,2018-05-02,,19763,2.8,120,3.8,46,F,Master
EMP0241,Legal,2018-12-18,,14678,3.9,10,2.4,39,M,High School
EMP0242,HR,2022-05-15,,8491,5.0,56,5.0,45,F,Bachelor
EMP0243,HR,2018-12-24,2021-12-27,23251,2.7,3,3.5,27,F,Bachelor
EMP0244,Operations,2022-04-27,2025-02-17,17707,3.7,71,2.4,37,M,High School
EMP0245,HR,2019-07-23,,13795,3.2,55,3.8,39,F,PhD
EMP0246,R&D,2018-11-12,,13080,3.3,78,2.8,34,F,Bachelor
EMP0247,HR,2021-06-01,2024-02-16,15886,3.9,110,3.1,43,F,PhD
EMP0248,Legal,2024-08-31,2026-12-15,24766,4.0,40,3.6,33,F,PhD
EMP0249,Marketing,2023-07-05,,12943,3.2,100,4.4,47,F,Bachelor
EMP0250,Finance,2024-08-22,,10895,3.1,93,2.8,51,M,High School
EMP0251,Marketing,2018-10-11,,18406,3.3,38,3.4,37,F,Master
EMP0252,Legal,2022-03-25,2026-01-27,20703,2.6,118,3.3,48,M,PhD
EMP0253,Sales,2019-03-24,,26548,3.3,78,3.3,24,F,PhD
EMP0254,Legal,2019-03-10,2021-02-16,12274,2.5,74,3.7,36,F,PhD
EMP0255,Legal,2023-03-12,,24286,3.3,3,3.3,52,M,PhD
EMP0256,Legal,2018-12-18,2020-04-01,16414,3.2,26,4.7,55,F,PhD
EMP0257,R&D,2019-02-04,,27831,3.2,5,3.9,29,M,PhD
EMP0258,Sales,2019-11-05,,29264,3.5,20,4.4,43,F,High School
EMP0259,Finance,2022-07-18,,11107,3.0,3,3.1,34,F,High School
EMP0260,Legal,2018-01-19,,11743,3.3,101,5.0,26,M,Master
EMP0261,Operations,2021-08-28,2022-10-15,13596,3.1,81,2.9,42,F,High School
EMP0262,Sales,2021-11-26,,20003,2.4,90,2.7,41,M,Master
EMP0263,Operations,2019-04-28,2020-06-20,10998,3.2,49,4.2,48,M,High School
EMP0264,Legal,2020-01-31,,22608,3.1,22,2.6,32,F,PhD
EMP0265,HR,2020-02-06,,19778,2.3,1,2.6,53,M,Master
EMP0266,Legal,2024-04-19,,21219,2.7,90,4.4,50,F,Master
EMP0267,Sales,2024-05-04,2026-01-25,14571,4.1,36,3.9,32,F,High School
EMP0268,Sales,2024-06-03,2027-12-17,17021,2.2,97,3.4,50,M,High School
EMP0269,Sales,2020-10-10,,6056,2.8,104,4.1,27,F,Bachelor
EMP0270,Finance,2020-05-09,,24265,2.9,78,2.1,49,M,Master
EMP0271,Finance,2020-04-27,,23680,3.1,68,4.4,32,F,PhD
EMP0272,Marketing,2024-06-03,,21856,4.7,12,3.7,30,F,Bachelor
EMP0273,Marketing,2019-06-04,,9348,3.5,106,5.0,37,F,High School
EMP0274,HR,2024-06-23,,25572,2.7,81,4.3,27,F,PhD
EMP0275,Operations,2023-02-06,,15724,2.1,108,2.9,27,F,PhD
EMP0276,Sales,2023-12-30,,19078,3.9,41,2.9,40,F,Master
EMP0277,R&D,2021-11-08,,29977,3.8,100,3.9,51,M,Bachelor
EMP0278,HR,2022-12-13,,19018,3.9,16,5.0,41,M,PhD
EMP0279,Sales,2022-01-16,,17184,2.9,6,2.7,47,F,Master
EMP0280,Legal,2019-01-09,,5035,3.6,75,4.2,36,F,Bachelor
EMP0281,Technology,2021-11-08,,18838,3.2,29,2.8,46,M,Bachelor
EMP0282,Sales,2021-07-07,,14805,4.4,96,5.0,30,M,Bachelor
EMP0283,Technology,2024-11-04,,19421,3.2,95,4.3,31,F,High School
EMP0284,Finance,2018-12-22,,9587,3.5,49,2.6,44,F,PhD
EMP0285,HR,2020-10-11,,7760,3.5,92,5.0,40,M,PhD
EMP0286,Finance,2023-10-22,,11181,3.5,6,3.0,37,F,High School
EMP0287,Sales,2020-09-14,,24461,5.0,1,4.6,45,F,Master
EMP0288,Legal,2024-05-17,,22903,2.9,98,2.4,26,M,Bachelor
EMP0289,Technology,2020-12-09,2021-10-08,18040,2.4,64,3.7,48,F,High School
EMP0290,Sales,2024-01-07,,10003,3.4,65,4.6,35,M,PhD
EMP0291,Legal,2024-07-30,,26293,3.4,89,3.5,49,M,Bachelor
EMP0292,Finance,2018-12-20,,8800,2.5,39,4.2,33,M,Bachelor
EMP0293,HR,2018-02-16,2020-07-25,22137,2.0,33,3.6,32,F,Master
EMP0294,Marketing,2019-04-29,,5961,3.1,67,4.6,26,F,Bachelor
EMP0295,R&D,2023-02-08,,6816,2.5,47,3.8,32,F,Bachelor
EMP0296,Sales,2020-07-24,,5084,5.0,31,4.3,24,F,PhD
EMP0297,Legal,2019-09-07,2020-05-16,23116,3.9,83,2.5,48,M,PhD
EMP0298,Finance,2022-09-01,,15483,3.5,47,4.2,29,M,Master
EMP0299,Finance,2023-10-14,,18137,4.3,36,4.2,41,F,Bachelor
EMP0300,R&D,2018-02-02,,14554,2.9,79,3.5,37,F,PhD
EMP0301,R&D,2020-03-11,,22909,3.5,0,3.1,48,M,Master
EMP0302,Operations,2018-02-09,,5047,3.5,94,2.9,41,M,Master
EMP0303,Finance,2022-09-16,,6962,3.9,35,3.7,27,M,Master
EMP0304,Legal,2022-03-06,,29507,3.8,17,4.0,47,M,Bachelor
EMP0305,Legal,2019-06-20,2021-06-03,15322,4.2,106,3.4,42,F,High School
EMP0306,Marketing,2020-08-14,2022-04-01,9460,3.7,19,2.6,28,M,High School
EMP0307,R&D,2021-07-10,,22561,2.6,57,5.0,41,F,PhD
EMP0308,Sales,2019-01-06,2021-03-19,28091,3.4,106,3.6,42,M,Bachelor
EMP0309,Finance,2021-12-28,,6604,3.2,22,3.2,23,F,High School
EMP0310,Finance,2019-01-23,,9580,3.7,99,4.0,36,M,Master
EMP0311,Legal,2022-03-05,,26125,4.4,117,4.4,26,M,Bachelor
EMP0312,Finance,2022-12-22,,8013,4.7,42,2.8,29,M,High School
EMP0313,Technology,2019-11-20,,19193,3.8,3,3.0,46,F,Master
EMP0314,Operations,2020-05-29,,14010,3.2,4,5.0,37,F,High School
EMP0315,Legal,2024-03-05,,7874,3.4,25,4.3,55,M,Bachelor
EMP0316,Legal,2022-01-10,,20881,2.9,41,4.8,46,F,Master
EMP0317,Technology,2021-07-30,,5960,4.6,7,2.8,52,F,Master
EMP0318,HR,2019-02-15,2020-12-19,13733,2.1,94,3.5,25,M,High School
EMP0319,Operations,2019-12-13,2023-10-06,15420,3.9,116,2.5,23,F,Master
EMP0320,Finance,2023-07-10,,10752,3.2,29,3.8,36,M,High School
EMP0321,Technology,2021-09-20,,11601,3.8,22,3.0,42,M,Bachelor
EMP0322,HR,2024-07-30,,9641,3.7,110,2.1,45,M,PhD
EMP0323,Legal,2024-07-28,2026-10-04,15571,3.8,55,4.2,53,F,Master
EMP0324,Operations,2020-07-03,,10745,2.6,37,4.8,30,M,Bachelor
EMP0325,Legal,2024-05-13,2028-03-26,15427,5.0,28,2.7,28,F,Master
EMP0326,Operations,2018-11-15,2021-02-26,10501,2.2,105,2.1,43,F,Bachelor
EMP0327,Marketing,2020-05-08,2021-03-22,16484,3.5,0,4.2,25,F,High School
EMP0328,Legal,2019-11-13,,21157,4.0,48,3.2,28,F,Master
EMP0329,HR,2023-01-23,2023-09-28,14663,4.1,13,3.9,26,F,Master
EMP0330,Legal,2019-10-22,,22925,5.0,43,2.9,52,M,High School
EMP0331,HR,2024-10-23,,10147,4.2,24,4.1,48,F,PhD
EMP0332,Marketing,2020-08-30,2023-05-11,23735,2.6,6,3.5,45,M,High School
EMP0333,Sales,2021-04-21,,25482,3.1,3,3.4,35,M,PhD
EMP0334,Sales,2023-04-24,,15104,3.7,114,2.8,38,M,High School
EMP0335,HR,2022-02-28,,17104,3.6,56,4.1,51,F,Master
EMP0336,Marketing,2024-04-30,2025-05-13,7808,2.8,52,2.4,36,M,High School
EMP0337,Legal,2024-01-03,,20559,3.0,38,3.5,27,F,Bachelor
EMP0338,HR,2019-05-08,,19714,4.6,27,5.0,34,M,Bachelor
EMP0339,Legal,2018-11-17,,19266,3.9,18,5.0,38,F,Bachelor
EMP0340,Sales,2022-05-09,,23089,3.2,58,4.4,22,F,Bachelor
EMP0341,Legal,2019-09-05,2023-06-20,24093,3.6,118,1.7,28,M,PhD
EMP0342,Operations,2022-08-11,,26456,2.4,4,3.9,33,F,High School
EMP0343,HR,2024-10-29,,18163,5.0,42,4.3,37,M,High School
