candidate_id,channel,apply_date,final_stage,days_in_process,result,cost_yuan,department
CAND0128,LinkedIn,2024-05-15,Final Interview,23,Rejected,7158,HR
CAND0129,HeadHunter,2024-11-08,Resume Screen,9,Rejected,2143,Legal
CAND0130,Campus,2024-11-10,Final Interview,25,Rejected,447,Sales
CAND0131,HeadHunter,2024-10-19,Technical Interview,8,Rejected,1076,Marketing
CAND0132,HeadHunter,2024-11-30,Resume Screen,9,Rejected,1719,Technology
CAND0133,LinkedIn,2024-01-02,Final Interview,25,Rejected,5207,R&D
CAND0134,HeadHunter,2024-07-15,Final Interview,26,Rejected,527,R&D
CAND0135,LinkedIn,2024-11-27,Offer,30,Hired,5679,Sales
CAND0136,Referral,2024-10-10,Offer,30,Rejected,361,Technology
CAND0137,HeadHunter,2024-02-24,Phone Screen,14,Rejected,7843,Operations
CAND0138,HeadHunter,2024-04-07,Resume Screen,9,Rejected,6523,HR
CAND0139,LinkedIn,2024-07-18,Phone Screen,7,Rejected,4507,Sales
CAND0140,JobBoard,2024-01-09,Technical Interview,28,Rejected,1979,Technology
CAND0141,Referral,2024-01-22,Resume Screen,7,Rejected,1613,Legal
CAND0142,LinkedIn,2024-10-01,Phone Screen,19,Rejected,6054,HR
CAND0143,Internal,2024-11-12,Offer,20,Hired,965,Technology
CAND0144,Campus,2024-01-26,Phone Screen,6,Rejected,1295,Marketing
CAND0145,LinkedIn,2024-10-31,Final Interview,13,Rejected,4572,Finance
CAND0146,LinkedIn,2024-12-13,Phone Screen,15,Rejected,7147,Legal
CAND0147,Referral,2024-06-13,Resume Screen,10,Rejected,281,Finance
CAND0148,LinkedIn,2024-12-22,Offer,24,Hired,1876,Operations
CAND0149,JobBoard,2024-10-24,Phone Screen,14,Rejected,1895,Technology
CAND0150,Campus,2024-03-21,Resume Screen,8,Rejected,1592,Technology
CAND0151,HeadHunter,2024-04-01,Resume Screen,2,Rejected,559,Sales
CAND0152,Internal,2024-05-18,Offer,30,Rejected,1310,R&D
CAND0153,HeadHunter,2024-04-02,Phone Screen,6,Rejected,5384,R&D
CAND0154,JobBoard,2024-08-02,Resume Screen,6,Rejected,712,Technology
CAND0155,JobBoard,2024-02-18,Phone Screen,8,Rejected,1085,Operations
CAND0156,JobBoard,2024-03-17,Offer,21,Hired,1631,R&D
CAND0157,HeadHunter,2024-11-26,Phone Screen,6,Rejected,942,Operations
CAND0158,Referral,2024-11-11,Phone Screen,14,Rejected,684,R&D
CAND0159,LinkedIn,2024-03-31,Resume Screen,2,Rejected,4902,HR
CAND0160,LinkedIn,2024-08-15,Final Interview,21,Rejected,6409,Operations
CAND0161,HeadHunter,2024-02-26,Phone Screen,12,Rejected,6881,Operations
CAND0162,Campus,2024-07-30,Resume Screen,5,Rejected,1510,Finance
CAND0163,HeadHunter,2024-09-05,Phone Screen,12,Rejected,5293,Technology
CAND0164,HeadHunter,2024-07-17,Phone Screen,14,Rejected,1958,Operations
CAND0165,Campus,2024-03-06,Final Interview,23,Rejected,687,Technology
CAND0166,Internal,2024-06-24,Offer,33,Hired,350,Finance
CAND0167,Referral,2024-09-24,Offer,30,Hired,1755,R&D
CAND0168,Campus,2024-06-16,Offer,30,Hired,507,Legal
CAND0169,JobBoard,2024-01-23,Phone Screen,6,Rejected,855,Technology
CAND0170,HeadHunter,2024-05-03,Offer,39,Hired,4557,Sales
CAND0171,JobBoard,2024-04-21,Resume Screen,8,Rejected,1945,HR
CAND0172,Referral,2024-12-08,Technical Interview,10,Rejected,982,Marketing
CAND0173,Campus,2024-12-26,Final Interview,24,Rejected,1790,Legal
CAND0174,Campus,2024-12-19,Technical Interview,14,Rejected,788,Operations
CAND0175,JobBoard,2024-05-18,Resume Screen,6,Rejected,872,Finance
CAND0176,Internal,2024-01-29,Resume Screen,7,Rejected,1506,Operations
CAND0177,LinkedIn,2024-08-26,Resume Screen,8,Rejected,3494,Technology
CAND0178,Referral,2024-12-29,Technical Interview,17,Rejected,1148,Finance
CAND0179,Campus,2024-09-01,Technical Interview,18,Rejected,1329,Finance
CAND0180,Internal,2024-05-16,Phone Screen,14,Rejected,1838,Legal
CAND0181,Referral,2024-06-25,Resume Screen,3,Rejected,763,R&D
CAND0182,HeadHunter,2024-11-13,Offer,38,Hired,4202,Operations
CAND0183,Internal,2024-08-22,Resume Screen,5,Rejected,1826,Sales
CAND0184,LinkedIn,2024-05-21,Final Interview,16,Rejected,1849,Sales
CAND0185,Internal,2024-04-14,Phone Screen,13,Rejected,1791,Technology
CAND0186,Referral,2024-08-15,Final Interview,30,Rejected,860,Technology
CAND0187,Referral,2024-04-28,Phone Screen,5,Rejected,1785,Operations
CAND0188,HeadHunter,2024-06-04,Offer,45,Hired,4251,HR
CAND0189,Referral,2024-07-09,Phone Screen,11,Rejected,991,Marketing
CAND0190,LinkedIn,2024-03-26,Phone Screen,13,Rejected,4234,HR
CAND0191,Internal,2024-06-11,Offer,20,Hired,84,HR
CAND0192,HeadHunter,2024-12-28,Technical Interview,16,Rejected,5107,Technology
CAND0193,Internal,2024-10-03,Technical Interview,18,Rejected,918,HR
CAND0194,JobBoard,2024-09-12,Technical Interview,13,Rejected,1906,HR
CAND0195,HeadHunter,2024-06-18,Technical Interview,16,Rejected,4656,Marketing
CAND0196,HeadHunter,2024-02-27,Technical Interview,20,Rejected,6145,R&D
CAND0197,LinkedIn,2024-01-13,Phone Screen,13,Rejected,3023,Legal
CAND0198,JobBoard,2024-06-16,Phone Screen,16,Rejected,189,Technology
CAND0199,JobBoard,2024-05-22,Phone Screen,15,Rejected,1600,Finance
CAND0200,LinkedIn,2024-08-16,Resume Screen,10,Rejected,7458,Sales
