employee_id,uwes_1,uwes_2,uwes_3,uwes_4,uwes_5,uwes_6,uwes_7,uwes_8,uwes_9,pls_1,pls_2,pls_3,pls_4,pls_5,pls_6,pls_7,lmx_1,lmx_2,lmx_3,lmx_4,lmx_5,lmx_6,lmx_7
EMP0223,6,5,5,6,6,5,5,5,5,4,3,3,3,4,3,3,4,4,3,3,4,3,3
EMP0334,3,3,2,3,1,4,3,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
EMP0375,5,5,5,6,5,6,6,5,4,5,5,5,5,5,4,5,4,4,3,3,3,3,3
EMP0168,3,3,2,4,4,3,3,3,3,4,3,3,3,3,4,3,1,2,1,2,2,2,3
EMP0249,3,3,2,4,4,3,4,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5
EMP0456,4,4,4,4,4,5,4,4,5,4,4,2,3,3,2,2,3,4,3,3,3,3,4
EMP0174,1,2,0,0,0,1,0,1,0,3,3,3,2,3,4,3,5,4,4,4,4,5,4
EMP0126,4,5,5,4,5,4,5,6,5,4,3,3,5,4,3,3,5,5,5,4,4,5,4
EMP0366,5,5,6,5,6,5,5,6,6,2,3,2,3,3,2,3,3,3,4,3,4,3,3
EMP0285,3,3,3,4,3,4,3,3,4,5,4,3,5,4,4,3,3,5,4,3,4,3,2
EMP0432,2,3,3,3,2,3,4,3,3,3,2,3,3,3,3,2,5,3,4,4,4,3,4
EMP0009,4,6,4,5,5,5,5,4,4,3,4,3,2,3,3,3,5,5,5,5,5,5,4
EMP0064,2,1,1,2,1,2,1,2,2,4,3,4,3,3,4,2,4,4,3,4,3,3,4
EMP0338,3,3,4,3,3,5,5,5,3,3,3,3,4,3,3,3,4,3,4,3,3,3,5
EMP0209,5,3,4,4,2,4,4,3,4,4,5,4,5,4,5,4,5,5,5,4,4,3,4
EMP0304,3,5,4,3,5,6,4,4,5,5,4,5,4,5,5,4,3,2,2,3,3,3,3
EMP0222,6,5,5,5,6,6,5,5,5,4,5,3,4,4,5,4,3,3,3,3,3,3,3
EMP0294,6,4,6,5,5,5,5,6,6,2,2,3,2,2,1,2,5,3,3,3,4,4,3
EMP0028,4,4,5,3,3,3,2,4,3,4,4,3,3,3,2,3,4,5,4,4,5,4,5
EMP0488,4,4,5,5,5,6,5,4,5,3,3,2,3,2,2,3,4,4,3,4,4,4,4
EMP0426,3,4,3,4,3,4,5,2,2,5,5,5,5,5,5,5,5,4,5,4,4,5,4
EMP0097,4,5,5,4,4,5,5,4,4,2,3,2,4,4,4,3,4,3,4,3,3,4,3
EMP0298,3,2,2,2,2,2,1,1,3,1,1,2,2,2,1,2,3,3,3,3,3,3,3
EMP0196,5,5,6,6,5,4,5,6,6,4,3,4,3,4,4,5,3,4,5,5,5,4,3
EMP0134,5,6,4,4,5,4,4,4,5,3,3,4,4,3,2,3,3,3,4,4,4,4,3
EMP0108,2,2,2,2,1,2,1,1,1,4,4,3,3,3,3,3,4,5,4,3,4,5,4
EMP0201,5,4,5,5,5,4,4,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5
EMP0211,3,2,2,1,0,2,1,2,1,3,4,5,4,4,4,3,5,4,5,4,4,4,5
EMP0252,3,2,2,3,2,2,1,2,4,3,4,5,4,3,4,4,3,3,3,3,3,3,3
EMP0470,6,6,5,5,6,6,6,6,5,3,4,4,4,4,3,3,3,3,3,3,3,3,3
EMP0344,3,5,4,4,6,5,5,4,4,4,4,5,4,4,4,3,5,4,4,4,4,4,3
EMP0416,2,2,2,2,1,2,2,2,3,5,4,4,4,4,4,3,5,5,5,5,5,5,5
EMP0418,4,3,4,1,3,4,4,3,4,3,2,3,4,3,3,2,4,4,5,5,4,3,4
EMP0436,3,4,4,3,3,4,3,4,4,3,4,3,4,4,4,3,2,2,2,3,2,3,2
EMP0122,3,4,4,3,4,4,4,6,4,1,2,1,2,3,2,1,5,5,5,5,5,5,5
EMP0465,6,6,6,6,6,6,6,6,6,1,3,2,2,1,2,2,4,3,4,4,4,4,4
EMP0311,5,3,4,4,5,6,5,4,4,3,2,1,3,2,3,3,4,5,4,5,5,5,5
EMP0233,5,3,4,4,3,4,4,5,3,3,2,3,3,2,2,5,5,5,5,5,5,5,4
EMP0395,5,5,6,5,4,5,4,6,5,5,4,4,5,4,5,5,3,3,3,4,3,4,3
EMP0470,3,3,3,4,2,3,3,2,2,1,1,1,2,1,2,1,2,3,2,3,3,2,2
EMP0087,4,5,5,3,4,4,4,3,5,4,4,3,4,3,4,4,3,4,4,3,3,4,4
EMP0151,5,5,5,5,5,5,4,4,6,2,3,3,3,2,1,3,4,4,3,3,4,3,4
EMP0123,5,5,6,5,6,6,6,5,4,4,3,3,4,5,4,3,2,2,3,3,4,4,3
EMP0009,1,4,2,2,2,1,2,3,2,5,5,5,5,5,5,5,2,4,3,3,3,3,3
EMP0427,2,4,3,3,3,3,3,4,5,3,2,4,4,4,4,3,4,3,4,4,4,3,4
EMP0047,4,4,5,5,4,3,6,4,3,2,3,2,3,3,3,3,4,4,4,3,3,3,4
EMP0378,4,3,4,5,4,4,5,5,4,3,2,3,3,3,4,3,3,3,3,2,2,3,2
EMP0159,2,2,4,1,2,2,3,2,2,3,3,3,4,4,4,2,3,4,4,4,3,4,4
EMP0201,4,4,3,2,4,3,4,4,5,3,3,2,4,2,3,2,4,4,4,4,4,4,3
EMP0005,4,4,3,3,2,4,2,3,3,3,3,3,2,3,3,3,3,4,4,3,4,4,4
EMP0398,2,2,2,4,2,3,4,3,4,5,4,4,5,5,4,4,3,4,4,3,3,4,4
EMP0033,2,3,3,3,3,4,2,3,3,3,4,3,4,4,4,4,4,5,5,5,5,4,4
EMP0045,1,4,2,1,2,1,2,2,2,4,2,3,2,2,2,2,1,1,2,2,2,2,1
EMP0097,6,6,6,4,5,5,6,5,6,4,4,4,4,3,4,3,5,4,5,4,3,3,4
EMP0262,2,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,5,5,4,5,5,5,5
EMP0157,1,3,3,2,2,2,3,3,2,3,4,3,4,3,4,3,3,3,3,3,3,3,3
EMP0471,1,3,3,3,3,4,6,4,3,4,5,3,4,3,4,2,3,3,3,3,2,3,3
EMP0381,5,3,3,5,3,4,3,2,3,2,3,3,3,4,4,3,3,4,3,5,2,4,3
EMP0022,0,1,0,1,1,3,2,0,1,3,3,3,3,2,2,2,5,4,5,4,4,4,5
EMP0478,5,6,4,6,4,5,5,5,6,4,4,4,5,4,4,5,4,5,4,5,4,4,5
EMP0187,4,3,3,2,4,4,4,3,4,4,4,4,3,5,4,4,5,4,4,4,4,4,3
EMP0167,3,3,5,4,3,5,5,4,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4
EMP0059,5,6,6,6,6,6,5,6,6,5,4,4,5,5,5,5,3,3,3,2,3,3,3
EMP0173,4,3,4,4,4,5,3,4,5,4,3,3,3,4,3,3,4,4,4,3,3,4,4
EMP0185,3,4,3,3,5,4,5,4,4,3,2,3,3,3,3,2,5,4,5,5,5,5,5
EMP0099,3,3,2,3,2,2,3,2,2,3,1,2,3,2,2,4,5,5,4,4,4,3,3
EMP0263,5,5,4,5,4,5,5,5,5,2,3,2,3,2,3,3,3,4,4,4,4,4,4
EMP0475,6,6,6,6,6,6,6,4,4,4,3,2,3,3,2,4,4,3,4,4,4,4,4
EMP0445,3,5,5,4,5,5,4,3,4,4,3,3,4,3,4,5,3,3,3,3,4,3,3
EMP0374,5,4,6,5,3,5,5,4,5,2,3,3,3,3,3,3,4,4,3,4,5,4,5
EMP0308,6,6,6,6,6,6,6,6,6,3,3,3,4,3,3,3,4,4,5,4,4,4,4
EMP0219,4,3,5,3,2,3,1,1,3,5,4,4,4,4,4,4,4,4,4,4,5,5,4
EMP0320,4,6,6,3,3,5,3,5,4,4,4,4,3,5,4,3,5,5,5,5,5,5,5
EMP0164,3,4,2,2,2,4,2,2,3,2,2,2,3,3,1,2,4,4,4,4,5,4,4
EMP0069,4,3,6,5,3,4,5,6,3,4,4,4,5,5,4,4,5,5,5,5,5,5,5
EMP0016,5,4,5,5,4,4,4,5,5,4,4,4,4,4,5,5,3,3,3,3,3,4,3
EMP0365,4,4,5,5,6,6,5,6,5,5,4,4,4,3,4,3,3,3,2,4,4,3,3
EMP0056,5,5,4,5,5,5,5,6,5,4,4,4,4,4,5,4,4,4,4,4,3,4,3
EMP0162,3,5,4,5,4,4,4,4,4,2,2,2,3,3,2,3,5,5,4,4,4,5,5
EMP0265,6,4,5,5,6,5,6,6,6,2,3,5,2,2,1,2,4,4,3,5,3,4,4
EMP0233,5,3,3,3,3,4,4,3,4,5,3,3,4,4,5,4,3,3,2,2,3,3,2
EMP0350,3,5,1,5,3,4,3,3,2,4,3,4,4,3,4,3,4,2,3,4,3,4,4
EMP0204,4,4,5,5,4,4,3,4,4,5,4,4,5,4,3,5,4,3,3,4,2,3,3
EMP0326,5,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,2,3,2,3,2,3,2
EMP0458,3,3,3,3,6,5,3,4,3,5,5,5,5,5,3,4,5,5,4,3,5,5,5
EMP0097,3,3,3,2,4,4,2,4,3,5,4,5,5,5,5,5,4,2,3,3,3,3,3
EMP0305,5,4,6,4,4,4,3,5,4,5,5,5,5,5,5,4,3,2,3,2,2,3,4
EMP0283,4,3,3,5,3,2,4,3,2,4,4,5,5,4,5,3,3,4,3,4,3,3,4
EMP0420,3,4,5,3,4,3,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,3
EMP0429,1,1,2,0,2,1,1,1,0,5,4,4,3,5,4,5,4,4,4,5,3,4,4
EMP0141,5,6,5,5,4,5,4,5,5,4,4,3,4,4,4,3,3,3,3,3,2,2,3
EMP0153,5,4,4,6,5,6,5,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,4
EMP0247,4,4,3,3,4,2,5,5,4,5,4,3,5,5,4,4,5,4,4,4,4,4,4
EMP0197,3,2,3,3,3,4,3,2,2,3,5,4,4,4,4,5,4,3,3,4,3,4,4
EMP0169,5,4,5,5,5,4,5,3,4,5,5,4,4,4,4,5,4,4,4,4,4,3,4
EMP0303,4,3,4,4,1,3,2,3,2,4,5,5,5,5,5,4,4,3,4,3,4,3,4
EMP0233,2,4,1,3,2,3,4,4,4,4,4,5,4,3,5,4,5,5,5,5,5,5,5
EMP0353,1,2,3,3,3,3,3,2,1,4,4,5,4,4,4,3,4,3,4,3,3,2,3
EMP0338,1,2,2,2,3,2,2,2,3,4,3,2,2,4,2,2,4,5,5,4,4,4,4
EMP0205,5,5,5,5,4,5,6,4,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4
EMP0375,4,5,5,5,6,4,5,5,5,4,4,3,4,5,4,5,3,3,4,4,3,3,4
EMP0105,4,2,3,4,4,3,3,3,5,4,4,4,4,3,4,4,4,4,4,3,3,2,3
EMP0299,6,6,6,6,6,6,6,5,6,3,4,3,3,4,3,3,4,4,3,3,4,3,3
EMP0432,3,3,2,6,4,4,3,4,4,5,4,3,4,3,4,3,5,5,4,4,5,5,5
EMP0348,4,2,2,3,4,2,3,4,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4
EMP0233,5,5,5,5,6,5,5,5,6,4,3,2,3,3,3,5,5,4,4,4,4,4,3
EMP0217,3,3,1,2,2,0,3,2,1,3,3,4,3,4,4,3,5,4,4,4,4,4,4
EMP0184,3,2,3,4,3,4,3,3,2,4,3,3,3,3,3,4,3,4,3,4,3,3,3
EMP0425,5,3,4,3,4,5,4,4,4,2,2,3,4,3,4,3,5,4,3,5,4,4,5
EMP0079,3,4,4,2,4,3,4,4,4,5,5,5,5,4,5,5,3,3,4,3,3,3,2
EMP0244,3,4,4,3,3,2,4,2,3,4,4,4,4,4,3,3,3,2,2,3,2,2,2
EMP0257,4,4,6,5,5,4,4,5,4,2,3,4,3,4,4,3,4,3,3,4,3,3,3
EMP0166,2,1,2,3,3,3,2,2,2,3,3,4,4,3,4,4,3,5,4,4,4,5,4
EMP0227,3,5,3,4,5,2,6,4,4,4,3,4,4,4,4,3,2,3,3,3,2,2,3
EMP0280,4,4,3,5,4,5,5,5,4,3,3,1,2,3,3,2,5,5,5,5,5,5,5
EMP0149,5,5,5,6,3,6,5,6,3,3,3,3,3,3,3,2,5,4,5,5,4,4,4
EMP0474,2,5,4,4,3,3,3,4,3,5,4,3,5,4,5,5,5,5,5,4,5,5,4
EMP0477,6,6,5,6,5,6,5,6,6,3,3,3,2,4,4,3,5,4,4,4,4,4,3
EMP0407,4,4,2,4,4,4,4,4,4,1,2,2,1,3,2,2,4,4,3,5,4,4,4
EMP0188,4,4,3,4,5,4,4,5,3,3,3,3,3,3,3,3,3,4,4,3,2,3,3
EMP0256,4,4,4,5,4,5,4,5,5,3,2,4,2,3,4,3,5,5,5,5,5,5,5
EMP0015,4,2,3,3,1,3,3,2,4,2,3,2,2,2,2,3,3,3,3,4,3,3,3
EMP0128,3,4,4,4,5,4,5,4,4,4,4,2,3,3,3,3,4,3,3,3,3,4,3
EMP0489,5,5,4,5,4,4,4,5,5,4,3,3,4,4,4,3,3,4,4,4,3,4,3
EMP0180,6,5,5,5,6,6,4,6,5,4,3,3,5,3,2,4,4,3,4,4,4,4,4
EMP0161,2,1,2,2,2,2,2,2,1,4,5,5,4,5,3,4,3,3,2,3,3,2,3
EMP0138,6,5,4,5,2,5,5,6,4,2,1,2,1,1,1,2,5,4,5,5,4,4,5
EMP0346,3,3,4,3,4,1,5,2,3,2,4,4,4,4,2,3,4,4,4,3,2,4,5
EMP0471,4,4,4,3,4,2,4,2,4,5,5,5,5,4,4,4,3,2,2,2,2,3,2
EMP0078,5,4,6,5,6,4,5,6,5,4,2,3,2,3,3,3,4,4,4,3,2,4,4
EMP0295,4,4,5,5,6,5,5,5,5,3,3,4,4,4,3,3,4,4,3,4,4,4,3
EMP0145,5,5,4,6,5,6,6,6,5,3,4,1,3,3,3,3,3,4,5,4,5,3,4
EMP0362,1,3,3,3,2,3,4,4,2,4,5,5,5,4,5,5,3,3,3,3,3,2,3
EMP0110,4,4,4,5,5,4,5,3,4,2,2,3,2,3,1,2,4,3,3,4,4,3,3
EMP0497,3,3,3,4,3,3,4,4,4,3,4,4,5,5,5,5,3,3,4,2,3,3,3
EMP0028,5,3,5,3,5,3,4,4,5,4,4,5,5,5,5,4,2,3,3,3,3,3,4
EMP0081,4,5,4,5,5,4,5,5,5,4,4,4,4,4,4,4,2,4,3,3,3,2,4
EMP0449,4,5,5,4,3,5,4,4,4,2,4,4,3,4,3,3,4,4,4,3,4,5,4
EMP0288,4,4,3,2,6,4,2,4,3,3,3,3,2,3,3,3,5,5,5,5,5,4,4
EMP0207,2,3,2,3,4,3,4,3,3,4,3,3,3,2,3,2,4,3,4,2,3,4,3
EMP0054,4,4,4,3,4,4,5,5,5,2,2,2,3,2,3,2,5,5,5,5,5,5,5
EMP0149,3,2,2,3,3,1,4,4,3,4,3,4,4,4,4,4,4,5,5,4,4,5,5
EMP0081,6,6,5,6,6,5,6,4,6,3,3,2,2,2,2,2,4,4,4,3,4,3,4
EMP0437,3,4,2,3,2,4,4,4,3,3,4,5,3,5,4,4,3,2,3,3,3,2,3
EMP0243,4,2,3,2,2,3,4,3,3,3,2,2,4,3,2,2,4,5,4,4,5,5,4
EMP0098,4,3,3,3,4,4,3,4,4,5,3,3,3,4,4,4,4,5,4,5,3,4,4
EMP0252,6,4,4,6,5,4,4,5,4,4,4,3,3,4,3,5,4,3,3,3,4,4,3
EMP0087,5,6,5,6,5,6,4,6,6,2,3,2,2,2,2,2,3,4,4,3,4,3,3
EMP0290,4,5,4,5,5,4,4,5,5,2,4,2,3,4,4,2,3,4,4,4,4,3,4
EMP0428,6,5,6,5,4,4,5,4,6,3,2,2,3,2,2,2,3,4,3,4,4,3,4
EMP0407,5,4,4,4,6,3,4,3,4,4,2,2,3,3,2,4,5,4,5,4,5,5,5
EMP0386,6,5,6,5,6,6,6,6,6,3,4,3,3,2,3,3,3,4,4,3,4,5,3
EMP0483,1,1,1,0,0,1,1,1,1,3,2,3,3,3,3,3,4,4,4,4,4,5,4
EMP0052,2,2,1,1,1,2,1,3,2,3,4,2,4,3,3,4,5,5,4,5,5,5,4
EMP0175,4,3,3,4,4,4,4,4,4,3,3,3,3,2,3,5,5,4,4,4,4,4,3
EMP0208,4,4,5,3,5,2,4,3,5,4,3,3,3,3,3,4,4,3,4,4,3,3,4
EMP0077,6,6,6,6,6,6,6,6,6,4,5,4,4,5,4,3,4,4,5,4,5,5,4
EMP0375,6,6,6,6,6,5,5,6,6,3,4,2,3,3,3,3,4,4,3,4,3,4,3
EMP0475,3,3,4,3,2,3,3,5,2,3,5,4,3,4,4,4,3,4,3,3,3,3,3
EMP0205,5,5,6,6,6,6,6,4,4,4,4,3,4,3,3,2,2,3,3,3,3,3,3
EMP0228,6,4,5,6,6,4,6,5,5,1,2,1,1,1,1,1,3,3,3,3,3,3,3
EMP0146,2,3,4,3,3,3,2,3,5,3,4,4,3,2,2,4,3,3,3,4,3,4,3
EMP0163,3,3,3,3,2,3,2,3,2,5,5,4,5,5,5,5,4,4,3,3,3,4,4
EMP0210,5,5,6,5,5,4,6,6,4,1,2,2,1,3,2,3,4,4,5,5,5,4,5
EMP0124,3,5,5,4,4,5,5,3,5,4,3,3,5,4,4,4,5,4,4,3,3,4,4
EMP0372,6,6,5,6,6,6,6,5,6,5,5,4,5,4,4,5,4,4,4,4,5,3,4
EMP0386,5,4,5,4,3,3,4,4,4,4,3,4,3,5,4,4,3,3,4,3,3,3,3
EMP0327,6,4,4,5,4,3,4,3,4,5,5,5,5,5,4,5,2,2,3,2,3,3,3
EMP0106,5,4,3,4,4,2,5,5,3,4,4,4,5,5,4,5,4,3,3,4,3,4,4
EMP0291,3,3,3,5,2,3,4,4,5,4,3,2,5,3,4,4,4,4,3,5,5,5,4
EMP0038,5,5,4,4,4,3,4,3,3,5,5,5,5,4,5,5,3,4,4,3,4,4,4
EMP0445,3,3,2,3,3,3,2,5,3,2,3,3,2,2,3,2,2,3,3,3,4,3,4
EMP0242,5,4,4,5,5,5,3,5,4,5,5,5,5,4,5,5,2,2,3,2,3,2,2
EMP0218,2,4,2,3,2,2,2,2,2,3,4,3,4,4,3,4,2,3,2,2,3,3,3
EMP0371,2,0,2,3,2,1,0,1,2,2,4,3,3,3,3,3,5,4,5,4,5,5,5
EMP0103,2,2,4,2,2,3,2,4,4,4,4,3,4,5,4,4,4,3,4,4,3,3,3
EMP0072,5,4,5,6,5,6,4,6,5,5,5,4,4,5,4,4,1,2,1,2,1,3,2
EMP0313,3,5,4,4,3,6,2,4,4,5,3,4,4,3,4,4,4,3,4,3,4,4,3
EMP0394,4,3,2,3,3,5,2,4,5,4,4,4,4,3,2,3,4,4,4,3,4,3,5
EMP0112,4,5,3,5,5,6,4,4,4,5,5,5,4,4,5,4,3,3,3,4,3,2,4
EMP0213,6,5,5,5,6,5,5,6,4,4,5,4,3,4,3,5,5,4,5,5,5,5,4
EMP0073,4,5,4,5,5,5,5,5,6,4,3,3,3,4,4,4,3,4,3,4,3,3,4
EMP0431,5,4,3,4,4,5,3,5,4,2,3,3,3,2,3,3,2,2,1,2,2,1,1
EMP0241,4,4,6,6,4,6,5,5,4,5,4,4,4,3,4,4,3,3,4,3,4,3,4
EMP0265,1,2,1,1,2,0,1,3,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3
EMP0110,3,2,4,3,2,2,5,3,4,4,4,5,5,4,4,5,4,3,4,5,3,4,4
EMP0065,4,3,6,6,6,4,5,6,4,5,4,4,4,4,4,4,4,5,4,5,5,4,4
EMP0052,2,4,3,4,3,1,3,3,4,5,5,5,5,5,5,5,3,4,4,4,3,4,3
EMP0035,5,6,6,5,4,6,5,5,4,3,3,3,4,3,3,3,2,4,4,3,3,4,4
EMP0160,2,1,2,1,3,1,2,3,3,3,5,3,5,4,4,4,4,3,2,3,3,3,3
EMP0375,2,2,4,2,1,4,3,2,1,4,3,4,3,3,4,2,4,4,4,3,4,4,4
EMP0400,4,4,4,3,4,5,4,6,6,3,5,4,3,4,3,2,4,5,4,4,5,4,4
EMP0205,4,5,3,6,5,6,5,6,6,3,4,4,4,3,4,4,4,2,4,3,4,4,4
EMP0281,2,3,1,3,4,3,3,1,2,4,4,5,5,5,4,4,3,4,3,4,4,4,4
EMP0087,4,2,3,3,3,4,3,3,4,4,3,3,3,4,3,3,3,3,3,3,1,2,3
EMP0043,4,4,3,5,6,4,4,3,3,4,4,4,4,5,5,4,3,3,3,3,3,2,3
EMP0462,6,5,4,6,5,5,6,6,6,3,3,3,3,2,2,2,5,5,5,5,5,5,5
EMP0368,1,3,3,3,5,2,3,3,3,4,3,4,4,3,4,3,4,3,3,3,3,2,2
EMP0392,6,6,6,6,6,6,6,6,6,5,4,4,5,4,4,4,5,5,5,5,5,5,5
EMP0389,6,6,6,6,6,6,6,6,5,3,3,4,4,4,4,4,4,4,4,3,4,4,4
EMP0049,4,2,2,4,4,5,6,4,4,3,4,3,4,2,4,4,4,3,5,5,4,3,4
EMP0362,4,4,5,4,6,6,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,3
EMP0343,3,3,3,3,3,2,3,5,2,3,4,3,5,5,4,4,3,2,3,2,3,3,3
EMP0102,5,3,4,3,4,3,4,3,4,3,4,3,4,3,5,4,3,4,4,4,4,4,4
EMP0181,4,5,3,4,3,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
EMP0426,4,3,4,4,3,4,5,3,3,4,4,3,4,5,4,4,4,4,3,4,3,4,3
EMP0006,3,3,2,3,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,4,3,4,3
EMP0255,5,5,5,5,5,4,5,4,4,3,3,2,3,2,1,3,3,4,4,5,5,4,4
EMP0237,6,4,5,4,5,5,5,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,4
EMP0054,4,4,4,3,5,5,3,5,4,5,4,5,4,5,4,5,4,4,5,3,3,4,4
EMP0451,4,3,3,6,3,4,3,5,4,5,4,3,4,5,4,4,4,4,5,4,5,4,5
EMP0205,6,5,6,3,4,5,4,4,6,4,4,5,4,5,4,4,5,5,5,5,5,5,5
EMP0480,3,2,4,2,4,3,5,3,3,3,2,3,1,2,3,3,4,2,3,4,3,3,3
EMP0005,5,6,6,6,6,6,4,6,6,3,3,3,3,3,3,4,5,5,5,5,4,4,4
EMP0359,6,6,5,6,5,5,6,6,6,3,4,3,4,2,3,3,5,5,5,5,4,5,5
EMP0070,2,3,3,5,2,3,4,2,4,3,4,4,3,3,4,4,4,5,4,4,4,4,4
EMP0359,4,3,4,4,2,3,4,3,3,5,5,5,4,5,5,5,3,3,4,4,3,3,3
EMP0483,4,4,4,4,4,3,2,5,3,4,4,4,4,4,4,4,4,5,4,4,3,4,4
EMP0299,1,1,3,2,2,3,3,3,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4
EMP0347,1,1,2,4,3,2,4,2,2,5,5,5,5,4,4,5,4,3,3,4,4,4,4
EMP0456,5,5,5,6,5,5,4,5,5,3,5,4,4,4,4,3,3,4,3,4,3,3,3
EMP0256,4,2,3,4,4,3,3,4,3,3,3,5,4,4,4,4,5,5,5,5,5,5,5
EMP0419,3,3,3,4,4,4,4,4,4,4,2,3,2,3,1,3,5,5,5,5,5,5,5
EMP0121,2,3,4,4,2,2,3,2,2,2,2,3,2,2,2,2,5,5,5,4,4,5,4
EMP0462,6,5,6,6,6,6,6,5,5,4,4,5,3,4,4,4,5,5,5,4,5,5,4
EMP0137,5,6,6,5,4,5,4,5,5,3,2,2,3,3,2,4,5,5,5,4,4,5,5
